1/5 tests.test_0...OK
2/5 transformer.test.perf whole MiMo interleaved decode...[expert-exl3] engaged K=2.5 codebook=tiny window=12
[expert-exl3] engaged K=2.5 codebook=tiny window=12
[mimo-source] loading original shards: resident EXL3 experts, in-memory affine8 trunk and split QKV
Precomputing MoE layer weights...
Batch eval all weights: 0ms
MoE routing compiled (hy3 sigmoid variant)
[perf-model] loaded corrected EXL3 ctx=8192 kv=8 mtp=false
[dtype-trace] moe: residual in = bfloat16, first weight = uint32
[mlp] fused SwiGLU kernel engaged: n=16777216 tg=256
[moe] fused router kernel engaged: mode=sigmoid_bias E=256 K=8 tg=256
[exl3-prefill] GPU window metadata engaged experts=256 win=32
[exl3-gemm] win=32 aligned=1 nwin=512 mixed=0 n=8192
[exl3-gemm] n40 two-funnel reader engaged dtype=float16
[exl3-prefill] sorted finish/reduce engaged dtype=bfloat16
[dtype-trace] moe: residual out = bfloat16
[exl3-decode] n40 eight-weight lane reader engaged dtype=bfloat16
[exl3-decode] n40 eight-weight lane reader engaged dtype=bfloat16
[exl3-decode] prepared mid engaged dtype=bfloat16 middle=f16 after down-input Hadamard
[perf-width] rows=5 round=0 rep=20 arm=0 ns=102085208
[perf-width] rows=5 round=0 rep=20 arm=1 ns=95792042
[perf-width] rows=5 round=1 rep=21 arm=1 ns=99109167
[perf-width] rows=5 round=1 rep=21 arm=0 ns=102460166
[perf-width] rows=5 round=1 rep=22 arm=0 ns=102319833
[perf-width] rows=5 round=1 rep=22 arm=1 ns=96455875
[perf-width] rows=5 round=1 rep=23 arm=1 ns=96045792
[perf-width] rows=5 round=1 rep=23 arm=0 ns=102974541
[perf-width] rows=5 round=1 rep=24 arm=0 ns=102555500
[perf-width] rows=5 round=1 rep=24 arm=1 ns=97053791
[perf-width] rows=5 round=1 rep=25 arm=1 ns=95712417
[perf-width] rows=5 round=1 rep=25 arm=0 ns=102307917
[perf-width] rows=5 round=1 rep=26 arm=0 ns=102308875
[perf-width] rows=5 round=1 rep=26 arm=1 ns=96028292
[perf-width] rows=5 round=1 rep=27 arm=1 ns=96655917
[perf-width] rows=5 round=1 rep=27 arm=0 ns=102089084
[perf-width] rows=5 round=1 rep=28 arm=0 ns=102055333
[perf-width] rows=5 round=1 rep=28 arm=1 ns=95650125
[perf-width] rows=5 round=1 rep=29 arm=1 ns=96412375
[perf-width] rows=5 round=1 rep=29 arm=0 ns=102536875
[perf-width] rows=5 round=2 rep=30 arm=0 ns=102706500
[perf-width] rows=5 round=2 rep=30 arm=1 ns=96095000
[perf-width] rows=5 round=2 rep=31 arm=1 ns=100454750
[perf-width] rows=5 round=2 rep=31 arm=0 ns=102698417
[perf-width] rows=5 round=2 rep=32 arm=0 ns=103298625
[perf-width] rows=5 round=2 rep=32 arm=1 ns=96096375
[perf-width] rows=5 round=2 rep=33 arm=1 ns=96419125
[perf-width] rows=5 round=2 rep=33 arm=0 ns=102837584
[perf-width] rows=5 round=2 rep=34 arm=0 ns=101970875
[perf-width] rows=5 round=2 rep=34 arm=1 ns=98060917
[perf-width] rows=5 round=2 rep=35 arm=1 ns=96677666
[perf-width] rows=5 round=2 rep=35 arm=0 ns=102294667
[perf-width] rows=5 round=2 rep=36 arm=0 ns=102315750
[perf-width] rows=5 round=2 rep=36 arm=1 ns=96317250
[perf-width] rows=5 round=2 rep=37 arm=1 ns=97332708
[perf-width] rows=5 round=2 rep=37 arm=0 ns=103262041
[perf-width] rows=5 round=2 rep=38 arm=0 ns=103098208
[perf-width] rows=5 round=2 rep=38 arm=1 ns=95566083
[perf-width] rows=5 identical argmax at fixed kv=1024
[perf-width] rows=6 round=0 rep=12 arm=0 ns=120181125
[perf-width] rows=6 round=0 rep=12 arm=1 ns=109985667
[perf-width] rows=6 round=0 rep=13 arm=1 ns=124358792
[perf-width] rows=6 round=0 rep=13 arm=0 ns=126136958
[perf-width] rows=6 round=0 rep=14 arm=0 ns=122368042
[perf-width] rows=6 round=0 rep=14 arm=1 ns=112617875
[perf-width] rows=6 round=0 rep=15 arm=1 ns=112062917
[perf-width] rows=6 round=0 rep=15 arm=0 ns=118869500
[perf-width] rows=6 round=0 rep=16 arm=0 ns=120394000
[perf-width] rows=6 round=0 rep=16 arm=1 ns=110273459
[perf-width] rows=6 round=0 rep=17 arm=1 ns=121014000
[perf-width] rows=6 round=0 rep=17 arm=0 ns=119134958
[perf-width] rows=6 round=0 rep=18 arm=0 ns=119926000
[perf-width] rows=6 round=0 rep=18 arm=1 ns=110375709
[perf-width] rows=6 round=0 rep=19 arm=1 ns=111805750
[perf-width] rows=6 round=0 rep=19 arm=0 ns=118718834
[perf-width] rows=6 round=0 rep=20 arm=0 ns=118662417
[perf-width] rows=6 round=0 rep=20 arm=1 ns=109582375
[perf-width] rows=6 round=1 rep=21 arm=1 ns=109893459
[perf-width] rows=6 round=1 rep=21 arm=0 ns=120452500
[perf-width] rows=6 round=1 rep=22 arm=0 ns=122172083
[perf-width] rows=6 round=1 rep=22 arm=1 ns=113184125
[perf-width] rows=6 round=1 rep=23 arm=1 ns=113075125
[perf-width] rows=6 round=1 rep=23 arm=0 ns=120508500
[perf-width] rows=6 round=1 rep=24 arm=0 ns=121116083
[perf-width] rows=6 round=1 rep=24 arm=1 ns=111865375
[perf-width] rows=6 round=1 rep=25 arm=1 ns=110265583
